SpeciesName,POP,MMA,SWM,ROW,HCM,UNH,PHM,BFM
Codium fragile subsp. fragile (Suringar) Hariot 1889,x,x,,,,x,,
Phaeophyceae (brown algae),,,,,,,,
Colpomenia peregrina Sauvageau 1927,,x,,,,,,
Rhodophyta (red algae),,,,,,,,
Dasysiphonia japonica (Yendo) H. S. Kim 2012 -,,x,x,,,x,x,x
Grateloupia turuturu Yamada 1941,x,x,,x,x,,,
Lomentaria clavellosa (Lightfoot ex Turner) Gaillon 1828,,,,,,x,,
Lomentaria orcadensis (Harvey) Collins in W.R. Taylor 1937,,,,,,x,,
Pyropia yezoensis (Ueda) M.S. Hwang and H.G. Choi 2011,,,x,,,,,
"Caprella mutica Schurin, 1935",x,x,x,x,x,x,x,x
"Carcinus maenas (Linnaeus, 1758)",x,x,,x,x,x,,
"Chthamalus fragilis Darwin, 18541",,x,,,,,,
"Hemigrapsus sanguineus (De Haan, 1835 [in De Haan, 1833 1850]) -",x,x,x,,x,,,
"Ianiropsis serricaudis Gurjanova, 1936",,x,,,,,,
"Palaemon macrodactylus Rathbun, 1902",x,,,,,,,
"Praunus flexuosus (Müller, 1776)",,,,,x,,x,x
"Bugula neritina (Linnaeus, 1758)",x,x,x,,,,,
"Bugulina simplex (Hincks, 1886)",x,,x,,,,,
"Membranipora membranacea (Linnaeus, 1767)",,,x,,x,x,x,
"Tricellaria inopinata d Hondt & Occhipinti Ambrogi, 1985 ’",,x,x,x,x,x,x,x
"Ascidiella aspersa (Müller, 1776)",,x,x,x,x,x,x,x
"Botrylloides violaceus Oka, 1927",x,x,x,x,x,x,x,x
"Botryllus schlosseri (Pallas, 1766)2",x,x,x,x,x,x,x,x
"Ciona intestinalis (Linnaeus, 1767)3",,x,x,x,x,x,x,x
"Didemnum vexillum Kott, 2002",x,x,x,x,x,x,x,
"Styela canopus (Savigny, 1816)",,x,x,x,,,,
"Styela clava Herdman, 1881",x,x,x,x,x,x,x,x
"Cnidaria (anemones, hydroids, and relatives)",,,,,,,,
"Diadumene lineata (Verrill, 1869)",x,,x,x,,,x,x
"Ostrea edulis Linnaeus, 1758",,,,x,x,x,x,x
Chlorophyta (green algae),,,,,,,,
Cladophora sericea (Hudson) Kützing 1843,,x,x,x,x,,x,
Ulva lactuca/U. australis Linnaeus 1753/Areschoug 1854*1,,,x,x,x,x,x,x
Ulva spp. (tubular)*,x,x,x,x,x,x,x,x
Ochrophyta (diatoms and brown algae),,,,,,,,
Licmophora sp.*,,,,,,x,,
Rhodophyta (red algae),,,,,,,,
"Gracilaria tikvahiae/Agarophyton vermiculophyllum McLachlan 1979/(Ohmi) Gurgel, J.N. Norris & Fredericq 2018*2",x,,,,,,,
Pyropia spp.*,,,,,x,,x,
Annelida (polychaete worms),,,,,,,,
"Amphitrite cirrata Müller, 1776",,,,x,x,x,x,x
"Dipolydora socialis (Schmarda, 1861)",,,,x,,,,x
"Harmothoe imbricata (Linnaeus, 1767)",x,x,x,x,,x,,
"Lepidonotus squamatus (Linnaeus, 1758)3",x,x,x,x,x,x,x,x
"Neoamphitrite figulus (Dalyell, 1853)",,,,x,x,x,x,x
"Phyllodoce maculata (Linnaeus, 1767)",x,,,,,x,,x
"Phyllodoce mucosa (Orsted, 1843)",,,,,,,,x
"Arthropoda (shrimps, crabs, and relatives)",,,,,,,,
"Caprella penantis Leach, 1814",,x,,,,,,
"Limnoria lignorum Rathke, 1799",,,x,x,,,,
"Monocorophium acherusicum Costa, 1853",,x,,,,,,
Palaemon spp.*,x,,,,,,,
Bryozoa (colonial bryozoan animals),,,,,,,,
"Cryptosula pallasiana (Moll, 1803)",x,,x,x,x,x,x,
"Electra pilosa (Linnaeus, 1767)",,x,x,,x,x,x,x
Nolella sp.*,,,,,,,,x
Schizoporella sp.* 4,,x,,,,,,