SpeciesName,STB,ALH,PTJ,BMM,CED,SBJ,SHS,BYH,MBG,GKS
Codium fragile subsp. fragile,,,x,,,,,,x,
Dasysiphonia japonica,,,,x,,,,,,
Grateloupia turuturu,,,x,x,,,,x,x,
Diadumene lineata,x,x,,x,x,,x,x,x,x
Barentsia benedeni,,,x,x,x,,x,,,
Ianiropsis serricaudis,,,x,,,,,,x,
Grandidierella japonica,x,,,x,x,,,x,x, x
Microdeutopus gryllotalpa,,,,,x,,,,,
Caprella mutica,,x,,x,,,x,x,x,
Hemigrapsus sanguineus,x,x,x,x,,x,x,x,,
Carcinus maenas,x,,x,x,,,,,x,
Palaemon macrodactylus,x,,x,,,,,x,x ,
Bugula neritina-type N,,,x,,,,,,x,
Tricellaria inopinata,,x,x,x,,,x,,x,
Didemnum vexillum,,,x,,,,,,,
Diplosoma listerianum,x,,x,,,,,,,
Styela clava,x,x,x,x,,,x,x,x,
Botrylloides violaceus,x,x,x,x,,x,x,x,x,
Botryllus schlosseri,x,x,x,x,,x,x,x,x,x
Ascidiella aspersa,,,x,x,,,x,,,
Ciona intestinalis,,,x,,,,,,,
Cladophora sericea,x,,,,x,,,,x,
Bryopsis plumosa,,x,x,x,,,,,,x
Ulva compressa,x,x,,,,,,,,
Ulva lactuca,,,,,,,,,,x
Ulva linza,,,x,,,,,,,
Ulva rigida (blade),,,x,x,,,x,,,
Halichondria bowerbanki,x,x,,x,,x,,,x,x
Haliclona canaliculata,,,,,,x,,,,
Ectopleura larynx,,,x,,,,,,,
Obelia bidentata,,,x,,,,,,,
Obelia dichotoma,x,,x,,,x,,,,x
Harmothoe imbricata,x,,,,,,,,x,
Nereis pelagica,,,,,,,,,,
Phyllodoce maculata,,,,,,,,,x,
Dipolydora socialis,x,,,,x,,,x,,x
Tanais dulongii,x,,,,,,,,,
Apocorophium acutum,x,,,,,,x,,,
Monocorophium acherusicum,,,x,x,x,x,,,,
Monocorophium insidiosum,x,x,x,x,,x,x,x,,x
Caprella equilibra,,,,,,,,,x,
Amathia gracilis,,,,x,,,,,,
Cryptosula pallasiana,x,x,x,x,x,,x,x,x,