SpeciesName,BFM,PHM,WHM,UNH,HSP,HCM,ROW,GHM,SWM,WHC,MBL,MMA,POP,TRM,PEW,ALM,FAD,PTJ
Chlorophyta (green algae),,,,,,,,,,,,,,,,,,
Codium fragile  subsp. fragile  (dead man's fingers),,,,,,x,,,,x,,x,x,x,,x,x,x
Heterokontophyta (brown algae),,,,,,,,,,,,,,,,,,
Colpomenia peregrina  (sea potato),,,,,,,,,x,,,,,,,,,
Melanosiphon intestinalis  (dark sea tubes),,,x,,,,,,,,,,,,,,,
Rhodophyta (red algae),,,,,,,,,,,,,,,,,,
Bonnemaisonia hamifera  (hooked red weed),,,x,,,,,,,,,,,x,,,,
Gracilaria vermiculophylla  (wormleaf),,,,,,,,,,,,,x,,x,x,,
Grateloupia turuturu  (Devil's tongue weed),,,,,,,x,,x,x,,x,x,x,,x,x,x
Heterosiphonia japonica  (siphoned feather weed),,,,x,,,,,,,,x,,x,,,x,
Lomentaria clavellosa  (club bead-weed),,,,,x,x,,,x,,,,,x,,,x,
Lomentaria orcadensis  (Orkney weed),,,,,,,,,x,,,,,,,,,
Neosiphonia harveyi  (doughball weed),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Pyropia yezoensis  (open sea nori),,,,,,x,,,,,,,,,,,,x
Annelida (ringed worms),,,,,,,,,,,,,,,,,,
Neodexiospira brasiliensis  (Brazilian spiral tubeworm),,,,,,,,,,,,,,x,,,x,x
"Arthropoda (crabs, shrimp, and relatives)",,,,,,,,,,,,,,,,,,
*Amphibalanus amphitrite (striped barnacle),,,,,,,,,,,,,x,,,,,
Caprella mutica  (Japanese skeleton shrimp),x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x
Carcinus maenas  (European green crab),x,x,x,x,x,x,x,x,x,x,,x,x,x,,x,x,x
Hemigrapsus sanguineus  (Asian shore crab),x,,x,,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Ianiropsis serricaudis  (isopod),,,,,x,x,x,x,x,x,x,x,x,x,,,x,x
*Melita palmata  (palmed gammarid),,,,,,,x,,,,,,,,,,,
Microdeutopus gryllotalpa  (tube builder),x,,,x,,,,,,,x,,,x,,,,
Palaemon elegans  (European rock pool shrimp),,x,x,,x,x,,x,x,,,,,,,,,
*Palaemon floridanus (Florida grass shrimp),,,,,,,,,,x,,,,,,,,
Palaemon macrodactylus  (oriental grass prawn),,,,,,,,,,,,,,,,,x,
Praunus flexuosus  (bent opossum shrimp),x,x,x,,x,x,,x,x,,,,,,,,,
*Stenothoe valida  (gammarid amphipod),x,,x,x,,,,,,,,,,x,,,,
Bryozoa (bryozoans),,,,,,,,,,,,,,,,,,
Bugula neritina  (purple bugula),,,,,,x,x,,,x,x,,x,,,,x,x
Bugula simplex  (fan bugula),x,,,x,x,x,x,x,x,x,x,x,x,,,x,x,x
Bugula stolonifera  (stoloned bugula),x,,,,,,,,,,,,,,,,,x
Conopeum seurati  (encrusting bryozoan),,,,,,,x,,,,,,,,,,,
Membranipora membranacea  (lacy crust bryozoan),,x,x,x,x,,x,,x,,,,x,,,,,
Tricellaria inopinata  (unexpected bryozoan),,,,,x,x,x,x,x,x,x,x,,,,,x,
Chordata (tunicates and vertebrates),,,,,,,,,,,,,,,,,,
Ascidiella aspersa  (European tunicate),x,x,,,,x,x,x,x,x,x,x,x,,,,x,x
Botrylloides violaceus  (sheath tunicate),x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x
Botryllus schlosseri  (star tunicate),x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x
Botryllus  sp. (colonial tunicate),,,,,,,x,x,,x,x,x,x,,,x,,
Didemnum vexillum  (pancake batter tunicate),x,,x,x,,x,x,x,x,x,x,x,,x,,,x,x
Diplosoma listerianum  (gelatinous tunicate),x,x,x,x,x,x,x,x,x,x,x,x,x,,,x,x,x
Styela canopus  (rough tunicate),,,,,,,,,,x,,x,,x,,,x,x
Styela clava  (club tunicate),,x,,,,x,x,x,x,x,x,x,x,x,,x,x,x
"Cnidaria (anemones, hydroids, and relatives)",,,,,,,,,,,,,,,,,,
Aiptasiogeton eruptaurantia  (pink-spotted sea anemone),,,,,,,,,,,,,,,,,,x
*Clytia linearis  (hydroid),,,,,,x,,x,x,x,x,x,x,x,x,x,x,
Diadumene lineata  (orange striped anemone),,x,,,,x,x,x,x,,,x,x,x,x,x,x,x
Hydrodendron  sp. (hydroid),,,,,,,,,,,,,x,,,,,
Mollusca (snails and bivalves),,,,,,,,,,,,,,,,,,
Littorina littorea  (common periwinkle),x,,,x,x,,x,,,,,,,,,,,
Ostrea edulis  (European oyster),x,x,x,x,x,x,x,x,,,,,x,,,,x,
Annelida (ringed worms),,,,,,,,,,,,,,,,,,
Capitella teleta  (telete worm),,,,x,,,,,,,,,,,,,,
Lepidonotus  sp. (scale worm),,,,,,x,x,,,,,,,x,,,,
Perkinsiana  sp1. (sabellid worm),,,,,,,,,,,,,,,,,x,
Polycirrus  sp. (terebellid worm),,,,,,,,,,,x,,,,,,,
"Arthropoda (shrimp, crabs, and relatives)",,,,,,,,,,,,,,,,,,
Caprella penantis  (caprellid amphipod),,,,,,,,,,,,x,,,,,,
Microdeutopus anomalus  (amphipod),,,,,,,,,x,,,,,,,,,
Tanais dulongii  (tanaid),,,,,,,x,,,,,x,,,,,,
Bryozoa (bryozoans),,,,,,,,,,,,,,,,,,
Bowerbankia imbricata  (tiled moss hydroid),,,,,,,x,,,,,,x,x,,x,,
Cryptosula pallasiana  (orange crust bryozoan),x,x,,x,x,,x,,x,x,,x,x,,x,x,x,
Cercozoa (some amoebas and relatives),,,,,,,,,,,,,,,,,,
Gromia oviformis  (rhizopod),,,,,,,,,x,,,,,,,,,
Chordata (tunicates and vertebrates),,,,,,,,,,,,,,,,,,
Ciona intestinalis  (sea vase tunicate),x,x,,x,x,x,x,,x,x,x,x,,,,,x,x
"Cnidaria (anemones, hydroids, and relatives)",,,,,,,,,,,,,,,,,,
Bougainvillia muscus  (sticky moss hydroid),x,x,,,x,,,x,,,,x,,,,,,
Clava multicornis  (club hydroid),,x,x,,,,,,x,,,,,,,,,
Clytia gracilis  (hydroid),,,,,,,,x,x,x,,,x,x,,x,,x
Clytia hemisphaerica  (hydroid),,,,x,,,,,,,,,,,,,,
Dynamena pumila  (sea oak hydroid),x,x,,,,,,,x,,,x,,,,,,
Ectopleura crocea  (pink-hearted hydroid),x,,,,,x,x,,,,,,,,,,,
Ectopleura larynx  (ringed tubularian),x,x,x,x,x,x,x,x,x,,,x,,x,,,,x
Gonothyraea loveni  (Hydroid),,,,,,,,,,,,,x,x,,x,,
Hydractinia  sp. (snail fur hydroid),,,,x,x,,x,,,,,,,,x,,,
Laomedea calceolifera  (hydroid),,,,,,x,,x,,,,,,,,x,,
Obelia dichotoma  (sea thread hydroid),x,x,,x,x,x,x,x,x,,,,x,x,x,x,x,x
Obelia longissima  (bushy wine-glass hydroid),,x,,,,x,x,,,,,,,x,,x,,x
Pennaria disticha  (Christmas tree hydroid),,,,,,,,,,,,x,,,,,,
Tenellia adspersa  (miniature aeolis),,,,,,,,,,,,,x,,,,,
Porifera (sponges),,,,,,,,,,,,,,,,,,
Halichondria  sp. (sponge),x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x
Haliclona  sp. (sponge),x,x,x,x,,,x,x,x,,x,,,,,x,,x